127.0.0.1 - - [29/Jul/2023:23:16:30 +0900] "GET / HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:34 +0900] "GET / HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:35 +0900] "GET /resources/css/login.css HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:35 +0900] "GET /resources/js/login.js HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:35 +0900] "GET /resources/img/login_none.png HTTP/1.1" 200 10533
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:35 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:40 +0900] "POST /member/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /main/main HTTP/1.1" 200 16432
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/img/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/img/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/img/html_35px.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/img/spring.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/font/AppleSDGothicNeoB.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /resources/font/AppleSDGothicNeoR.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /todo/list HTTP/1.1" 500 11041
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:43 +0900] "GET /calendar/list HTTP/1.1" 500 11014
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:46 +0900] "GET /menu/community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /community/community HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /resources/css/community.css HTTP/1.1" 200 8560
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /resources/img/q.png HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /resources/js/community.js HTTP/1.1" 200 37369
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /community/recommendList HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:47 +0900] "GET /resources/img/it.jpg HTTP/1.1" 200 161859
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:50 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:52 +0900] "GET /community/recommendList HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:52 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:53 +0900] "GET /community/communityList/1 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:53 +0900] "GET /community/recommendList HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:53 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:55 +0900] "GET /community/insert HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:55 +0900] "GET /resources/js/summernote-ko-KR.js HTTP/1.1" 200 9926
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:55 +0900] "GET /resources/js/community_reg.js HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:16:55 +0900] "GET /resources/css/com_register.css HTTP/1.1" 200 5498
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:02 +0900] "GET /community/insert HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:09 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:09 +0900] "GET /community/recommendList HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:09 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:10 +0900] "GET /community/recommendList HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:10 +0900] "GET /community/communityList/0 HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:11 +0900] "GET /menu/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:11 +0900] "GET /main/main HTTP/1.1" 200 16432
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:11 +0900] "GET /calendar/list HTTP/1.1" 500 10898
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:11 +0900] "GET /todo/list HTTP/1.1" 500 10925
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:12 +0900] "GET /bookmark/bookmarkpage HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:12 +0900] "GET /resources/css/likeList.css HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:12 +0900] "GET /resources/js/bookmark.js HTTP/1.1" 200 4427
0:0:0:0:0:0:0:1 - - [29/Jul/2023:23:17:12 +0900] "GET /bookmark/bookmarkList HTTP/1.1" 200 942
